id,name,rgb,is_trans
129,Glitter Trans-Purple,A5A5CB,1
132,Speckle Black-Silver,05131D,0
133,Speckle Black-Gold,05131D,0
134,Copper,AE7A59,0
135,Pearl Light Gray,9CA3A8,0
137,Pearl Sand Blue,7988A1,0
142,Pearl Light Gold,DCBC81,0
143,Trans-Medium Blue,CFE2F7,1
148,Pearl Dark Gray,575857,0
150,Pearl Very Light Gray,ABADAC,0
151,Very Light Bluish Gray,E6E3E0,0
158,Yellowish Green,DFEEA5,0
178,Flat Dark Gold,B48455,0
179,Flat Silver,898788,0
182,Trans-Orange,F08F1C,1
183,Pearl White,F2F3F2,0
191,Bright Light Orange,F8BB3D,0
212,Bright Light Blue,9FC3E9,0
216,Rust,B31004,0
226,Bright Light Yellow,FFF03A,0
230,Trans-Pink,E4ADC8,1
232,Sky Blue,7DBFDD,0
236,Trans-Light Purple,96709F,1
272,Dark Blue,0A3463,0
288,Dark Green,184632,0
294,Glow In Dark Trans,BDC6AD,1
297,Pearl Gold,AA7F2E,0
308,Dark Brown,352100,0
313,Maersk Blue,3592C3,0
320,Dark Red,720E0F,0
321,Dark Azure,078BC9,0
322,Medium Azure,36AEBF,0
323,Light Aqua,ADC3C0,0
326,Olive Green,9B9A5A,0
334,Chrome Gold,BBA53D,0
335,Sand Red,D67572,0
351,Medium Dark Pink,F785B1,0
366,Earth Orange,FA9C1C,0
373,Sand Purple,845E84,0
378,Sand Green,A0BCAC,0
379,Sand Blue,6074A1,0
383,Chrome Silver,E0E0E0,0
450,Fabuland Brown,B67B50,0
462,Medium Orange,FFA70B,0
484,Dark Orange,A95500,0
503,Very Light Gray,E6E3DA,0
1000,Glow in Dark White,D9D9D9,0
1001,Medium Violet,9391E4,0
1002,Glitter Trans-Neon Green,C0F500,1
1003,Glitter Trans-Light Blue,68BCC5,1
1004,Trans-Flame Yellowish Orange,FCB76D,1
1005,Trans-Fire Yellow,FBE890,1
1006,Trans-Light Royal Blue,B4D4F7,1
1007,Reddish Lilac,8E5597,0
1008,Vintage Blue,039CBD,0
1009,Vintage Green,1E601E,0
1010,Vintage Red,CA1F08,0
1011,Vintage Yellow,F3C305,0
1012,Fabuland Orange,EF9121,0
1013,Modulex White,F4F4F4,0
1014,Modulex Light Bluish Gray,AfB5C7,0
1015,Modulex Light Gray,9C9C9C,0
1016,Modulex Charcoal Gray,595D60,0
1017,Modulex Tile Gray,6B5A5A,0
1018,Modulex Black,4D4C52,0
1019,Modulex Tile Brown,330000,0
1020,Modulex Terracotta,5C5030,0
1021,Modulex Brown,907450,0
1022,Modulex Buff,DEC69C,0
1023,Modulex Red,B52C20,0
1024,Modulex Pink Red,F45C40,0
1025,Modulex Orange,F47B30,0
1026,Modulex Light Orange,F7AD63,0
1027,Modulex Light Yellow,FFE371,0
1028,Modulex Ochre Yellow,FED557,0
1029,Modulex Lemon,BDC618,0
1030,Modulex Pastel Green,7DB538,0
1031,Modulex Olive Green,7C9051,0
1032,Modulex Aqua Green,27867E,0
1033,Modulex Teal Blue,467083,0
1034,Modulex Tile Blue,0057A6,0
1035,Modulex Medium Blue,61AFFF,0
1036,Modulex Pastel Blue,68AECE,0
1037,Modulex Violet,BD7D85,0
1038,Modulex Pink,F785B1,0
1039,Modulex Clear,FFFFFF,0
1040,Modulex Foil Dark Gray,595D60,0
1041,Modulex Foil Light Gray,9C9C9C,0
1042,Modulex Foil Dark Green,006400,0
1043,Modulex Foil Light Green,7DB538,0
1044,Modulex Foil Dark Blue,0057A6,0
1045,Modulex Foil Light Blue,68AECE,0
1046,Modulex Foil Violet,4B0082,0
1047,Modulex Foil Red,8B0000,0
1048,Modulex Foil Yellow,FED557,0
1049,Modulex Foil Orange,F7AD63,0
1050,Coral,FF698F,0
1051,Pastel Blue,5AC4DA,0
1052,Glitter Trans-Orange,F08F1C,1
1053,Opal Trans-Light Blue,68BCC5,1
1054,Opal Trans-Dark Pink,CE1D9B,1
1055,Opal Trans-Clear,FCFCFC,1
1056,Opal Trans-Brown,583927,1
1057,Trans-Light Bright Green,C9E788,1
1058,Trans-Light Green,94E5AB,1
1059,Opal Trans-Purple,8320B7,1
1060,Opal Trans-Bright Green,84B68D,1
1061,Opal Trans-Dark Blue,0020A0,1
1062,Vibrant Yellow,EBD800,0
1063,Pearl Copper,B46A00,0
1064,Fabuland Red,FF8014,0
1065,Reddish Gold,AC8247,0
1066,Curry,DD982E,0
1067,Dark Nougat,AD6140,0
1068,Bright Reddish Orange,EE5434,0
1069,Pearl Red,D60026,0
1070,Pearl Blue,0059A3,0
1071,Pearl Green,008E3C,0
1072,Pearl Brown,57392C,0
1073,Pearl Black,0A1327,0
1074,Duplo Blue,009ECE,0
1075,Duplo Medium Blue,3E95B6,0
1076,Duplo Lime,FFF230,0
1077,Fabuland Lime,78FC78,0
1078,Duplo Medium Green,468A5F,0
1079,Duplo Light Green,60BA76,0
1080,Light Tan,F3C988,0
1081,Rust Orange,872B17,0
1082,Clikits Pink,FE78B0,0
1083,Two-tone Copper,945148,0
1084,Two-tone Gold,AB673A,0
1085,Two-tone Silver,737271,0
1086,Pearl Lime,6A7944,0
1087,Duplo Pink,FF879C,0
1088,Medium Brown,755945,0
1089,Warm Tan,CCA373,0
1090,Duplo Turquoise,3FB69E,0
1091,Warm Yellowish Orange,FFCB78,0
1092,Metallic Copper,764D3B,0
1093,Light Lilac,9195CA,0
1094,Trans-Medium Purple,8D73B3,0
1095,Trans-Black,635F52,1
1096,Glitter Trans-Bright Green,D9E4A7,1
1097,Glitter Trans-Medium Purple,8D73B3,1
1098,Glitter Trans-Green,84B68D,1
1099,Glitter Trans-Pink,E4ADC8,1
1100,Clikits Yellow,FFCF0B,0
1101,Duplo Dark Purple,5F27AA,0
1102,Trans-Neon Red,FF0040,1
1103,Pearl Titanium,3E3C39,0
1104,HO Aqua,B3D7D1,0
1105,HO Azure,1591cb,0
1106,HO Blue-gray,354e5a,0
1107,HO Cyan,5b98b3,0
1108,HO Dark Aqua,a7dccf,0
1109,HO Dark Blue,0A3463,0
1110,HO Dark Gray,6D6E5C,0
1111,HO Dark Green,184632,0
1112,HO Dark Lime,b2b955,0
1113,HO Dark Red,631314,0
1114,HO Dark Sand Green,627a62,0
1115,HO Dark Turquoise,10929d,0
1116,HO Earth Orange,bb771b,0
1117,HO Gold,b4a774,0
1118,HO Light Aqua,a3d1c0,0
1119,HO Light Brown,965336,0
1120,HO Light Gold,cdc298,0
1121,HO Light Tan,f9f1c7,0
1122,HO Light Yellow,f5fab7,0
1123,HO Medium Blue,7396c8,0
1124,HO Medium Red,c01111,0
1125,HO Metallic Blue,0d4763,0
1126,HO Metallic Dark Gray,5e5e5e,0
1127,HO Metallic Green,879867,0
1128,HO Metallic Sand Blue,5f7d8c,0
1129,HO Olive Green,9B9A5A,0
1130,HO Rose,d06262,0
1131,HO Sand Blue,6e8aa6,0
1132,HO Sand Green,A0BCAC,0
1133,HO Tan,E4CD9E,0
1134,HO Titanium,616161,0
1135,Metal,A5ADB4,0
1136,Reddish Orange,CA4C0B,0
1137,Sienna Brown,915C3C,0
1138,Umber Brown,5E3F33,0
1139,Opal Trans-Yellow,F5CD2F,1
9999,[No Color/Any Color],05131D,0
